,event,outcome,weightclass,method,round,time,fight_id,fighter1,fighter2
0,UFC Fight Night: Dolidze vs. Imavov ,0,mw,dec_maj,5,300,767ceb4a0cb43ade,Roman Dolidze ,Nassourdine Imavov
1,UFC Fight Night: Dolidze vs. Imavov ,1,lw,dec_una,3,300,733e675fd7c0052a,Renato Moicano ,Drew Dober
2,UFC Fight Night: Dolidze vs. Imavov ,1,ww,ko_tko,1,197,af6d56860ba4d259,Randy Brown ,Muslim Salikhov
3,UFC Fight Night: Dolidze vs. Imavov ,0,wflw,dec_una,3,300,7b1882dc76786d77,Viviane Araujo ,Natalia Silva
4,UFC Fight Night: Dolidze vs. Imavov ,,mw,other,1,11,415ea2520b7ba720,Aliaskhab Khizriev ,Makhmud Muradov
5,UFC Fight Night: Dolidze vs. Imavov ,0,ww,ko_tko,1,287,330d86bfaa4155fe,Gilbert Urbina ,Charles Radtke
6,UFC Fight Night: Dolidze vs. Imavov ,1,wsw,sub,1,299,d4ace70b3661ee6c,Molly McCann ,Diana Belbita
7,UFC Fight Night: Dolidze vs. Imavov ,0,flw,dec_una,3,300,ca7d61e167d7789c,Azat Maksum ,Charles Johnson
8,UFC Fight Night: Dolidze vs. Imavov ,1,ww,ko_tko,1,32,4cff9aeef3ac75c1,Themba Gorimbo ,Pete Rodriguez
9,UFC Fight Night: Dolidze vs. Imavov ,1,ftw,dec_una,3,300,e1930496b33fa636,JeongYeong Lee ,Blake Bilder
10,UFC Fight Night: Dolidze vs. Imavov ,1,wflw,ko_tko,3,292,c28d40498150de90,Luana Carolina ,Julija Stoliarenko
11,UFC Fight Night: Dolidze vs. Imavov ,0,lw,dec_una,3,300,e396c509fb47b037,Landon Quinones ,MarQuel Mederos
12,UFC Fight Night: Dolidze vs. Imavov ,0,hw,dec_una,3,300,df9847839c73a678,Thomas Petersen ,Jamal Pogues
13,UFC 297: Strickland vs. Du Plessis ,0,UFC Middleweight Title Bout,dec_spl,5,300,14e53999507c76a7,Sean Strickland ,Dricus Du Plessis
14,UFC 297: Strickland vs. Du Plessis ,1,UFC Women's Bantamweight Title Bout,dec_una,5,300,faf15b752fb8924c,Raquel Pennington ,Mayra Bueno Silva
15,UFC 297: Strickland vs. Du Plessis ,1,ww,ko_tko,3,285,97817609ed46baa0,Neil Magny ,Mike Malott
16,UFC 297: Strickland vs. Du Plessis ,1,mw,dec_spl,3,300,ba5005d1116fa45f,Chris Curtis ,Marc-Andre Barriault
17,UFC 297: Strickland vs. Du Plessis ,0,ftw,dec_una,3,300,1a7cd191f0cf160c,Arnold Allen ,Movsar Evloev
18,UFC 297: Strickland vs. Du Plessis ,0,bw,dec_una,3,300,670e4754d8d3d172,Brad Katona ,Garrett Armfield
19,UFC 297: Strickland vs. Du Plessis ,0,ftw,dec_spl,3,300,331ddc1141e934d1,Charles Jourdain ,Sean Woodson
20,UFC 297: Strickland vs. Du Plessis ,0,bw,dec_spl,3,300,43d90683078fcee5,Serhiy Sidey ,Ramon Taveras
21,UFC 297: Strickland vs. Du Plessis ,1,wsw,ko_tko,2,192,dff2685afd98ed9e,Gillian Robertson ,Polyana Viana
22,UFC 297: Strickland vs. Du Plessis ,0,ww,sub,1,123,a10e2d5416972b9c,Yohan Lainesse ,Sam Patterson
23,UFC 297: Strickland vs. Du Plessis ,1,wbw,sub,3,261,7736eb6bd5c1ff4a,Jasmine Jasudavicius ,Priscila Cachoeira
24,UFC 297: Strickland vs. Du Plessis ,0,flw,sub,2,77,ab105e5a56b5ee90,Malcolm Gordon ,Jimmy Flick
25,UFC Fight Night: Ankalaev vs. Walker 2 ,1,lhw,ko_tko,2,162,f2b407019b2a5c15,Magomed Ankalaev ,Johnny Walker
26,UFC Fight Night: Ankalaev vs. Walker 2 ,1,lw,sub,3,205,640f2ae3995b3b4f,Jim Miller ,Gabriel Benitez
27,UFC Fight Night: Ankalaev vs. Walker 2 ,0,bw,dec_una,3,300,a8239866e1222eae,Ricky Simon ,Mario Bautista
28,UFC Fight Night: Ankalaev vs. Walker 2 ,0,mw,ko_tko,1,295,d0d99889c6abd8e1,Phil Hawes ,Brunno Ferreira
29,UFC Fight Night: Ankalaev vs. Walker 2 ,0,hw,dec_una,3,300,6f13fe34cb3ca906,Andrei Arlovski ,Waldo Cortes-Acosta
30,UFC Fight Night: Ankalaev vs. Walker 2 ,0,ww,dec_una,3,300,5f622d812b8f407f,Matthew Semelsberger ,Preston Parsons
31,UFC Fight Night: Ankalaev vs. Walker 2 ,1,bw,ko_tko,2,209,03de7404decde12f,Marcus McGhee ,Gaston Bolanos
32,UFC Fight Night: Ankalaev vs. Walker 2 ,1,bw,dec_una,3,300,477c3b9de012e4b3,Farid Basharat ,Taylor Lapilus
33,UFC Fight Night: Ankalaev vs. Walker 2 ,0,ftw,ko_tko,1,252,0494ebcee93e717b,Westin Wilson ,Jean Silva
34,UFC Fight Night: Ankalaev vs. Walker 2 ,1,lw,ko_tko,1,63,5344e76e26503716,Nikolas Motta ,Tom Nolan
35,UFC Fight Night: Ankalaev vs. Walker 2 ,1,flw,ko_tko,2,271,fd29123ff92789e4,Joshua Van ,Felipe Bunes
36,UFC 296: Edwards vs. Covington ,1,UFC Welterweight Title Bout,dec_una,5,300,3fa8ee3fdc04fe36,Leon Edwards ,Colby Covington
37,UFC 296: Edwards vs. Covington ,1,UFC Flyweight Title Bout,dec_una,5,300,4896b36f1333d25c,Alexandre Pantoja ,Brandon Royval
38,UFC 296: Edwards vs. Covington ,1,ww,sub,2,296,1efc813ccd7a5aba,Shavkat Rakhmonov ,Stephen Thompson
39,UFC 296: Edwards vs. Covington ,0,lw,dec_una,3,300,ac8628d945a78b03,Tony Ferguson ,Paddy Pimblett
40,UFC 296: Edwards vs. Covington ,1,ftw,ko_tko,1,117,3b21a9f48bac4a44,Josh Emmett ,Bryce Mitchell
41,UFC 296: Edwards vs. Covington ,1,lhw,dec_una,3,300,521a0e016878d174,Alonzo Menifield ,Dustin Jacoby
42,UFC 296: Edwards vs. Covington ,1,wbw,dec_una,3,300,609d994bfe440ec3,Irene Aldana ,Karol Rosa
43,UFC 296: Edwards vs. Covington ,1,bw,ko_tko,1,222,f8a8871d167fc929,Cody Garbrandt ,Brian Kelleher
44,UFC 296: Edwards vs. Covington ,0,wflw,sub,2,78,c442899c21d58779,Casey O'Neill ,Ariane Lipski
45,UFC 296: Edwards vs. Covington ,1,flw,sub,2,265,4ec249e549309b16,Tagir Ulanbekov ,Cody Durden
