,first,last,nickname,fighter_id
0,Tom,Aaron,,93fe7332d16c6ad9
1,Danny,Abbadi,The Assassin,15df64c02b6b0fde
2,Nariman,Abbasov,Bayraktar,59a9d6dac61c2540
3,David,Abbott,Tank,b361180739bed4b0
4,Hamdy,Abdelwahab,The Hammer,3329d692aea4dc28
5,Shamil,Abdurakhimov,Abrek,2f5cbecbbe18bac4
6,Hiroyuki,Abe,Abe Ani,c0ed7b208197e8de
7,Daichi,Abe,,5140122c3eecd307
8,Papy,Abedi,Makambo,c9f6385af6df66d7
9,Ricardo,Abreu,Demente,aa6e591c2a2cdecd
10,Klidson,Abreu,White Bear,7279654c7674cd24
11,Cyborg,Abreu,,f689bd7bbd14b392
12,Daniel,Acacio,,1c5879330d42255f
13,John,Adajar,The Outlaw,989b85f6540c86b1
14,Scott,Adams,,2620f3eb21c79614
15,Juan,Adams,The Kraken,83b00f7597e5ac83
16,Anthony,Adams,Sugafoot,a77633a989013265
17,Zarrukh,Adashev,The Lion,79cb2a690b9ba5e8
18,Israel,Adesanya,The Last Stylebender,1338e2c7480bdf9e
19,Sam,Adkins,The Experience,0e9869d712e81f8f
20,Nick,Agallar,,ebc5af72ad5a28cb
21,Mariya,Agapova,Demonslayer,a08ddd04eaffd81d
22,Marcelo,Aguiar,,44aa652b181bcf68
23,Fabio,Aguiar,,501821d7fb7b95c1
24,Edwin,Aguilar,Tigre,6cadc0a0ba7dc015
25,Jessica,Aguilar,Jag,8f382b3baa954d2a
26,Kevin,Aguilar,Angel of Death,cf946e03ba2e7666
27,Jesus,Aguilar,,c051c2e12d692b8a
28,Christian,Aguilera,The Beast,ae071698e1a3ccd4
29,Nick,Aguirre,Slick,0978385b2bd9ef9b
30,Mike,Aina,Iron,9e3dbb9c68ed5d1a
31,Ashiek,Ajim,Peak Physique,49dea784f6cfed71
32,Hitomi,Akano,Girlfight Monster,2eada40ac8801559
33,Omari,Akhmedov,Wolverine,16690d100f995f8f
34,Yoshihiro,Akiyama,,b0550072e5f0afa7
35,Rostem,Akman,,1fc64507a0cb38cf
36,Razak,Al-Hassan,,38b50fd1e1b5b656
37,Abdul-Kareem,Al-Selwady,Pride of Palestine,597499ac7a5aac62
38,Mostapha,Al-Turk,,1cf1310684a841f5
39,Herdem,Alacabek,,7578cc6bd750206b
40,Javi,Alanis,,2144954270be834d
41,,Alatengheili,The Mongolian Knight,1897b7b913736a7c
42,Amir,Albazi,The Prince,6d35bf94f7d30241
43,Brett,Albee,,9b28292abe3166d5
44,John,Albert,Prince,7bd94b60d7521e4a
45,Junior,Albini,Baby,c482c8605455a213
46,Wes,Albritton,,184b955181bdef52
47,Aleksandra,Albu,Stitch,e76d9f656ceb82ab
48,Israel,Albuquerque,,dd1b90eea08887f6
49,Juan,Alcain,,39f62b833e4cf126
50,Iuri,Alcantara,Marajo,2f95a3c6d58b2aad
51,Ildemar,Alcantara,Marajo,7c6e87729e824ef4
52,Alfonso,Alcarez,,1e38bba6738b7b10
53,Gilbert,Aldana,El Peligro,d26934530dc5b248
54,Irene,Aldana,,578ef12674df1e6a
55,Hector,Aldana,,c487223b0289bda9
56,Jose,Alday,Pochito,7460ddef986d3144
57,Jose,Aldo,,d0f3959b4a9747e6
58,JJ,Aldrich,,6fd953151d981979
59,Irina,Alekseeva,Russian Ronda,103e2e33a60683e1
60,Talita,Alencar,Problem Child,d35298b6df168456
61,Jim,Alers,The Beast,fe5a9547479396ab
62,John,Alessio,The Natural,7a15f3694c5cbc02
63,Houston,Alexander,The Assassin,0541480fbf719d86
64,Kenneth,Alexander,The Machine,8fd76e1b49c00ae2
65,Lucas,Alexander,The Lion,11583163f45c7b31
66,Marcio,Alexandre Junior,Lyoto,d53482bef23235ba
67,Olaf,Alfonso,,b757c73f443d4fca
68,Pablo,Alfonso,The Hurricane,4b37a0bc2ab4cae1
69,Levi,Alford,,41b34b7f11f6d085
70,Bill,Algeo,Senor Perfecto,9abc648e76c4493a
71,Royce,Alger,,669a3cb6e394f515
72,Amir,Aliakbari,,e17770faae3ca54c
73,Sultan,Aliev,,e70de1859b7ee78e
74,Nurullo,Aliev,Tajik Eagle,ca28cdf526d6b6e9
75,Ikram,Aliskerov,,b07aed698fba8624
