,fighter,height,reach,stance,dob,fighter_id
0,Tom Aaron,,,,,93fe7332d16c6ad9
1,Danny Abbadi,71.0,,Orthodox,,15df64c02b6b0fde
2,David Abbott,72.0,,Switch,,b361180739bed4b0
3,Shamil Abdurakhimov,75.0,76.0,Orthodox,,2f5cbecbbe18bac4
4,Hiroyuki Abe,66.0,,Orthodox,,c0ed7b208197e8de
5,Daichi Abe,71.0,71.0,Orthodox,,5140122c3eecd307
6,Papy Abedi,71.0,,Southpaw,,c9f6385af6df66d7
7,Ricardo Abreu,71.0,,Orthodox,,aa6e591c2a2cdecd
8,Klidson Abreu,72.0,74.0,Orthodox,,7279654c7674cd24
9,Daniel Acacio,68.0,,Orthodox,,1c5879330d42255f
10,Scott Adams,72.0,,Southpaw,,2620f3eb21c79614
11,Juan Adams,77.0,80.0,Orthodox,,83b00f7597e5ac83
12,Anthony Adams,73.0,76.0,Orthodox,,a77633a989013265
13,Zarrukh Adashev,65.0,65.0,Southpaw,,79cb2a690b9ba5e8
14,Israel Adesanya,76.0,80.0,Switch,,1338e2c7480bdf9e
15,Sam Adkins,75.0,,Orthodox,,0e9869d712e81f8f
16,Nick Agallar,68.0,,Orthodox,,ebc5af72ad5a28cb
17,Mariya Agapova,66.0,68.0,Southpaw,,a08ddd04eaffd81d
18,Marcelo Aguiar,70.0,,Orthodox,,44aa652b181bcf68
19,Fabio Aguiar,72.0,,,,501821d7fb7b95c1
20,Edwin Aguilar,70.0,,,,6cadc0a0ba7dc015
21,Jessica Aguilar,63.0,63.0,Orthodox,1982-05-08,8f382b3baa954d2a
22,Kevin Aguilar,67.0,73.0,Orthodox,,cf946e03ba2e7666
23,Christian Aguilera,69.0,72.0,Switch,,ae071698e1a3ccd4
24,Mike Aina,69.0,,Orthodox,,9e3dbb9c68ed5d1a
25,Hitomi Akano,64.0,,Southpaw,,2eada40ac8801559
26,Omari Akhmedov,72.0,73.0,Orthodox,,16690d100f995f8f
27,Yoshihiro Akiyama,70.0,75.0,Orthodox,,b0550072e5f0afa7
28,Rostem Akman,70.0,72.0,Switch,,1fc64507a0cb38cf
29,Razak Al-Hassan,74.0,,Orthodox,1982-05-14,38b50fd1e1b5b656
30,Mostapha Al-Turk,74.0,77.0,Orthodox,,1cf1310684a841f5
31,Herdem Alacabek,74.0,75.0,Orthodox,,7578cc6bd750206b
32,Javi Alanis,66.0,,,,2144954270be834d
33,Alatengheili,65.0,66.0,Orthodox,,1897b7b913736a7c
34,Amir Albazi,65.0,68.0,Orthodox,,6d35bf94f7d30241
35,Brett Albee,,,,,9b28292abe3166d5
36,John Albert,68.0,68.0,Orthodox,,7bd94b60d7521e4a
37,Junior Albini,75.0,74.0,Orthodox,,c482c8605455a213
38,Wes Albritton,70.0,,Orthodox,,184b955181bdef52
39,Aleksandra Albu,62.0,63.0,Orthodox,,e76d9f656ceb82ab
40,Israel Albuquerque,,,Orthodox,,dd1b90eea08887f6
41,Juan Alcain,,,,,39f62b833e4cf126
42,Iuri Alcantara,69.0,71.0,Southpaw,,2f95a3c6d58b2aad
43,Ildemar Alcantara,74.0,78.0,Orthodox,,7c6e87729e824ef4
44,Alfonso Alcarez,63.0,,,,1e38bba6738b7b10
45,Gilbert Aldana,73.0,,Orthodox,,d26934530dc5b248
46,Irene Aldana,69.0,68.0,Orthodox,,578ef12674df1e6a
47,Hector Aldana,71.0,72.0,Orthodox,,c487223b0289bda9
48,Jose Alday,67.0,68.0,Orthodox,,7460ddef986d3144
49,Jose Aldo,67.0,70.0,Orthodox,,d0f3959b4a9747e6
50,JJ Aldrich,65.0,67.0,Southpaw,,6fd953151d981979
51,Jim Alers,69.0,71.0,Orthodox,,fe5a9547479396ab
52,John Alessio,70.0,72.0,Orthodox,,7a15f3694c5cbc02
53,Houston Alexander,72.0,72.0,Orthodox,,0541480fbf719d86
54,Kenneth Alexander,69.0,,Orthodox,,8fd76e1b49c00ae2
