,outcome,time,fights_f1,fights_f2,win_proportion_f1,win_proportion_f2,height_x,reach_x,height_y,reach_y,weightclass_flw,weightclass_ftw,weightclass_hw,weightclass_lhw,weightclass_lw,weightclass_mw,weightclass_wbw,weightclass_wflw,weightclass_wsw,weightclass_ww,round_2,round_3,round_4,round_5,stance_x_Orthodox,stance_x_Southpaw,stance_x_Switch,stance_y_Orthodox,stance_y_Southpaw,stance_y_Switch
0,0.0,300,5.0,5.0,0.2,0.4,74.0,76.0,75.0,75.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1,1.0,300,6.0,5.0,0.16666666666666666,0.4,73.0,76.0,75.0,75.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2,0.0,292,5.0,5.0,0.4,0.4,74.0,74.0,75.0,75.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
3,1.0,300,7.0,5.0,0.5714285714285714,0.4,72.0,77.0,75.0,75.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4,0.0,300,1.0,5.0,1.0,0.4,73.0,75.0,75.0,75.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
5,1.0,300,7.0,11.0,0.2857142857142857,0.6363636363636364,71.0,72.0,68.0,70.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
6,1.0,97,7.0,11.0,0.0,0.6363636363636364,70.0,70.0,68.0,70.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
8,1.0,281,11.0,11.0,0.2727272727272727,0.6363636363636364,70.0,72.0,68.0,70.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
9,0.0,184,5.0,11.0,0.8,0.6363636363636364,70.0,72.0,68.0,70.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,1.0,177,8.0,11.0,0.375,0.6363636363636364,69.0,70.0,68.0,70.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
11,0.0,300,8.0,11.0,0.375,0.6363636363636364,69.0,69.0,68.0,70.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
12,1.0,54,6.0,11.0,0.5,0.6363636363636364,69.0,71.0,68.0,70.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
13,0.0,112,4.0,11.0,1.0,0.6363636363636364,68.0,71.0,68.0,70.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
14,1.0,300,6.0,11.0,0.3333333333333333,0.6363636363636364,66.0,66.0,68.0,70.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
15,1.0,300,2.0,11.0,0.5,0.6363636363636364,70.0,74.0,68.0,70.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
16,1.0,197,10.0,7.0,0.3,0.42857142857142855,75.0,78.0,71.0,70.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
17,1.0,300,3.0,7.0,0.3333333333333333,0.42857142857142855,71.0,74.0,71.0,70.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
18,0.0,63,4.0,7.0,0.75,0.42857142857142855,72.0,74.0,71.0,70.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
19,1.0,278,9.0,7.0,0.1111111111111111,0.42857142857142855,72.0,71.0,71.0,70.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
20,0.0,300,18.0,7.0,0.16666666666666666,0.42857142857142855,69.0,70.0,71.0,70.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
