,time,fights_f1,win_proportion_f2,height_diff,reach_diff,outcome
0,300,5.0,0.4,-1.0,1.0,0.0
1,300,6.0,0.4,-2.0,1.0,1.0
2,292,5.0,0.4,-1.0,-1.0,0.0
3,300,7.0,0.4,-3.0,2.0,1.0
4,300,1.0,0.4,-2.0,0.0,0.0
5,300,7.0,0.6363636363636364,3.0,2.0,1.0
6,97,7.0,0.6363636363636364,2.0,0.0,1.0
8,281,11.0,0.6363636363636364,2.0,2.0,1.0
9,184,5.0,0.6363636363636364,2.0,2.0,0.0
10,177,8.0,0.6363636363636364,1.0,0.0,1.0
11,300,8.0,0.6363636363636364,1.0,-1.0,0.0
12,54,6.0,0.6363636363636364,1.0,1.0,1.0
13,112,4.0,0.6363636363636364,0.0,1.0,0.0
14,300,6.0,0.6363636363636364,-2.0,-4.0,1.0
15,300,2.0,0.6363636363636364,2.0,4.0,1.0
16,197,10.0,0.42857142857142855,4.0,8.0,1.0
17,300,3.0,0.42857142857142855,0.0,4.0,1.0
18,63,4.0,0.42857142857142855,1.0,4.0,0.0
19,278,9.0,0.42857142857142855,1.0,1.0,1.0
20,300,18.0,0.42857142857142855,-2.0,0.0,0.0
21,300,9.0,0.42857142857142855,0.0,3.0,0.0
22,266,8.0,0.42857142857142855,2.0,4.0,0.0
26,299,9.0,1.0,-3.0,-6.0,1.0
27,300,10.0,1.0,-4.0,-4.0,1.0
28,300,9.0,1.0,-3.0,-6.0,1.0
34,179,5.0,0.6666666666666666,2.0,2.0,1.0
46,300,5.0,0.3333333333333333,1.0,2.0,0.0
47,285,21.0,0.5,2.0,7.0,1.0
48,221,5.0,0.5,1.0,1.0,0.0
49,300,4.0,0.6666666666666666,-3.0,1.0,1.0
50,252,3.0,0.6666666666666666,1.0,-2.0,0.0
52,16,4.0,0.6666666666666666,2.0,6.0,1.0
53,300,4.0,0.6666666666666666,-5.0,2.0,0.0
55,300,8.0,0.0,1.0,-2.0,0.0
56,300,8.0,0.0,0.0,-1.0,0.0
57,300,6.0,0.0,0.0,-2.0,0.0
58,300,5.0,0.5,0.0,-6.0,0.0
59,193,2.0,0.5,5.0,4.0,1.0
60,300,4.0,0.0,-5.0,-9.0,0.0
61,300,3.0,0.0,-7.0,-8.0,0.0
