,outcome,time,fights_f1,fights_f2,win_proportion_f1,win_proportion_f2,height_diff,reach_diff,kd,subatt,rev,ctrl,sigster_throw,sigster_land,total_str_throw,total_str_land,td_throw,td_land,head_throw,body_throw,leg_throw,clinch_throw,ground_throw,weightclass_flw,weightclass_ftw,weightclass_hw,weightclass_lhw,weightclass_lw,weightclass_mw,weightclass_wbw,weightclass_wflw,weightclass_wsw,weightclass_ww,method_dec_spl,method_dec_una,method_dq,method_ko_tko,method_sub,method_tko_doc,round_x_2,round_x_3,round_x_4,round_x_5,stance_x_Orthodox,stance_x_Southpaw,stance_x_Switch,stance_y_Orthodox,stance_y_Southpaw,stance_y_Switch
0,0.0,300,5.0,5.0,0.2,0.4,-1.0,1.0,0.14181818181818182,-0.07090909090909087,0.09090909090909091,40.19272727272727,-9.596363636363638,-9.06545454545455,-6.145454545454548,-4.310909090909092,0.1290909090909091,0.12,-6.627272727272728,-2.709090909090909,-0.2599999999999998,-2.583636363636364,-1.6018181818181818,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1,1.0,300,6.0,5.0,0.1666666666666666,0.4,-2.0,1.0,0.05090909090909091,-0.4193939393939394,0.0,-21.32242424242424,6.630909090909089,27.64666666666667,3.642424242424241,23.658787878787876,-0.0072727272727273196,-0.45575757575757575,9.206060606060605,-1.2696969696969695,-1.3054545454545452,-2.6290909090909094,-1.3593939393939394,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2,0.0,292,5.0,5.0,0.4,0.4,-1.0,-1.0,0.11789473684210525,-0.32210526315789473,0.05263157894736842,4.235789473684214,-9.170526315789475,-15.414736842105267,-13.442105263157897,-21.088421052631578,0.29894736842105263,0.5936842105263157,-5.926315789473685,-1.3789473684210525,-1.8652631578947365,-0.9831578947368422,-1.0778947368421052,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
3,1.0,300,7.0,5.0,0.5714285714285714,0.4,-3.0,2.0,0.11384615384615385,-0.40307692307692305,0.0,35.07384615384616,1.9630769230769225,-1.1353846153846163,9.707692307692305,7.510769230769235,0.3353846153846154,0.5815384615384614,1.138461538461538,1.430769230769231,-0.606153846153846,-0.48923076923076936,-0.3815384615384616,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4,0.0,300,1.0,5.0,1.0,0.4,-2.0,0.0,-0.04,-0.48,0.0,-10.079999999999998,-8.96,-3.9200000000000017,-7.800000000000001,-2.519999999999996,-0.08000000000000002,0.12,-4.800000000000001,-3.1999999999999997,-0.9599999999999997,-1.9200000000000002,-2.92,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
5,1.0,73,5.0,4.0,0.2,1.0,-1.0,0.0,0.18181818181818182,-0.01948051948051943,-0.05194805194805194,-29.512987012987026,-0.6363636363636367,4.88311688311688,-2.688311688311689,2.694805194805191,-0.2337662337662338,-1.7142857142857144,-1.441558441558441,0.09090909090909083,0.7142857142857142,-0.6493506493506493,-0.6818181818181819,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
6,1.0,300,7.0,4.0,0.5714285714285714,1.0,-3.0,1.0,0.15384615384615385,-0.3516483516483516,-0.14285714285714285,-34.63186813186813,10.923076923076923,12.813186813186814,13.164835164835164,14.516483516483518,-0.027472527472527486,-1.252747252747253,6.324175824175825,4.230769230769231,0.36813186813186793,1.445054945054945,0.5384615384615383,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
7,1.0,165,9.0,4.0,0.3333333333333333,1.0,-2.0,-1.0,0.17073170731707318,-0.4041811846689895,-0.11846689895470383,-48.736933797909415,3.8780487804878057,8.891986062717766,-1.7038327526132413,1.2369337979094084,-0.15505226480836243,-0.6898954703832754,2.3222996515679455,2.3902439024390247,-0.8344947735191639,2.409407665505227,0.6341463414634148,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
8,1.0,300,7.0,4.0,0.1428571428571428,1.0,-1.0,-1.0,0.1111111111111111,0.05291005291005291,0.19047619047619047,-35.489417989418,3.8888888888888893,4.539682539682538,-0.4761904761904745,-1.7142857142857153,-0.27248677248677255,-2.0105820105820107,1.2671957671957674,2.037037037037037,0.5846560846560844,-0.7486772486772488,1.5555555555555554,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
9,1.0,300,5.0,2.0,0.2,1.0,1.0,1.0,0.18181818181818182,0.0757575757575758,0.09090909090909091,62.050505050505045,-5.525252525252526,-13.323232323232325,-0.8787878787878789,-7.813131313131315,-0.14646464646464646,0.2222222222222222,-2.8939393939393936,-0.797979797979798,-1.833333333333333,-0.08585858585858586,-0.3484848484848486,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
10,1.0,300,10.0,2.0,0.3,1.0,2.0,1.0,0.12903225806451613,-0.3333333333333333,0.0,-5.060931899641577,7.627240143369175,11.286738351254478,6.731182795698928,8.874551971326163,-0.45878136200716846,-0.2939068100358423,6.559139784946238,0.8530465949820787,0.2150537634408609,0.5519713261648744,-1.4086021505376345,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
11,1.0,300,5.0,5.0,0.2,0.8,1.0,5.0,0.18181818181818182,0.4090909090909091,0.09090909090909091,66.38383838383838,-4.191919191919194,-17.21212121212121,1.8434343434343425,-8.868686868686872,0.13131313131313133,-0.05555555555555558,-3.2272727272727275,-1.9090909090909092,0.9444444444444444,0.3585858585858587,1.2626262626262625,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
12,1.0,300,16.0,5.0,0.4375,0.8,1.0,4.0,0.171875,0.046875,0.0625,14.45486111111111,6.022569444444443,-2.7604166666666643,10.93576388888889,2.1128472222222214,0.06597222222222221,-0.24305555555555558,2.78125,2.28125,0.9600694444444444,2.3472222222222223,2.1163194444444446,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
13,0.0,300,10.0,5.0,0.5,0.8,-4.0,-1.0,0.2,0.09230769230769231,0.03076923076923077,5.588034188034186,0.4598290598290582,-7.9282051282051285,2.5888888888888886,-5.600854700854704,-0.062393162393162394,-0.7017094017094017,-2.2461538461538453,-1.6923076923076925,4.398290598290599,1.1606837606837606,1.682905982905983,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
14,1.0,300,2.0,5.0,0.0,0.8,1.0,9.0,0.0,0.0,0.0,13.346405228758169,-3.555555555555557,-20.549019607843135,-4.846405228758169,-22.16013071895425,0.13398692810457513,0.06209150326797386,-3.647058823529412,0.35294117647058787,-0.261437908496732,1.8104575163398695,-0.05555555555555555,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
15,1.0,300,3.0,5.0,0.3333333333333333,0.8,-2.0,-1.0,0.13043478260869565,0.0,0.0,-1.454106280193237,-1.0772946859903403,-18.362318840579707,-1.741545893719806,-19.147342995169083,0.11352657004830918,-0.09903381642512077,-2.391304347826088,0.3913043478260869,0.9227053140096617,0.3961352657004832,1.683574879227053,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
16,1.0,255,5.0,2.0,0.2,1.0,-1.0,-2.0,0.18181818181818182,0.3090909090909091,-0.009090909090909094,20.47272727272727,-4.036363636363635,-1.4454545454545453,0.35454545454545183,5.009090909090908,0.10909090909090913,0.0,-6.927272727272727,1.0909090909090908,1.8,-1.9636363636363636,0.8181818181818181,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
17,1.0,119,3.0,2.0,0.0,1.0,1.0,0.0,0.2727272727272727,-0.009090909090909094,-0.1,10.836363636363643,0.5090909090909115,5.372727272727275,0.8090909090909086,5.781818181818181,0.4272727272727273,0.18181818181818188,-0.881818181818181,0.6363636363636365,0.7545454545454546,-1.190909090909091,1.8636363636363638,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
20,0.0,156,6.0,2.0,0.1666666666666666,0.0,-3.0,-3.0,-0.07575757575757575,-0.0505050505050505,0.0,20.59090909090909,6.813131313131311,33.05555555555556,-0.14646464646464707,25.76767676767676,0.21717171717171715,0.36868686868686873,14.383838383838384,-3.5808080808080804,-3.98989898989899,-1.9090909090909092,0.7272727272727272,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
21,0.0,300,8.0,2.0,0.375,0.0,-2.0,-1.0,-0.06140350877192982,-0.005847953216374269,0.0,33.86842105263158,-6.093567251461989,-3.8304093567251485,-8.459064327485379,-6.312865497076025,0.2777777777777778,0.611111111111111,0.6900584795321638,-3.742690058479532,-3.04093567251462,-1.1578947368421053,1.0964912280701755,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
22,1.0,300,6.0,11.0,0.1666666666666666,0.1818181818181818,0.0,-1.0,0.046464646464646465,0.03838383838383838,-0.08888888888888889,-37.17575757575758,14.368686868686869,34.72222222222223,3.3090909090909086,22.64545454545454,-0.14949494949494951,-0.6424242424242423,14.294949494949494,0.44141414141414126,-0.3676767676767676,-2.7535353535353537,-0.9505050505050505,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
23,0.0,300,10.0,11.0,0.5,0.1818181818181818,2.0,0.0,-0.044444444444444446,0.34619883040935673,0.06900584795321636,-9.880701754385967,-1.7485380116959064,-9.391812865497073,-5.196491228070176,-12.943859649122807,0.47251461988304094,1.1964912280701754,-1.2584795321637436,-0.08888888888888902,-0.40116959064327484,-1.1076023391812866,0.12046783625731017,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
24,0.0,300,9.0,11.0,0.3333333333333333,0.1818181818181818,0.0,-2.0,0.12628726287262873,0.002168021680216802,-0.06449864498644986,5.115447154471539,2.6558265582655842,2.0189701897018963,-5.4943089430894325,-6.782113821138211,0.06558265582655826,0.9577235772357724,2.2254742547425472,1.3013550135501357,-0.8710027100271003,0.3506775067750678,0.12303523035230368,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
25,0.0,300,9.0,11.0,0.3333333333333333,0.1818181818181818,0.0,1.0,0.025730994152046778,0.3286549707602339,-0.08888888888888889,18.25964912280702,-4.362573099415204,-9.11111111111111,-13.2140350877193,-18.978947368421053,0.22690058479532166,1.301754385964912,-2.5216374269005852,-2.088888888888889,0.24795321637426926,-2.791812865497076,-0.4233918128654972,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
26,0.0,300,4.0,11.0,0.5,0.1818181818181818,0.0,-3.0,0.05555555555555556,0.01111111111111111,-0.05555555555555556,-38.233333333333334,14.37777777777778,26.455555555555556,5.199999999999999,16.46666666666667,-0.35555555555555557,-0.8,11.355555555555556,2.3444444444444446,0.6777777777777778,3.6888888888888887,-0.3111111111111109,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
27,0.0,59,1.0,11.0,1.0,0.1818181818181818,3.0,-1.0,-0.044444444444444446,0.5888888888888889,0.1333333333333333,28.677777777777777,-5.333333333333332,-15.222222222222221,-12.988888888888889,-23.844444444444445,0.18888888888888894,0.21111111111111103,-3.2555555555555564,-1.3666666666666667,-0.711111111111111,-2.011111111111111,1.2666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
28,0.0,300,6.0,11.0,0.6666666666666666,0.1818181818181818,0.0,-1.0,0.06081871345029239,0.18830409356725145,-0.036257309941520474,-13.354385964912282,2.988304093567251,7.976608187134502,-5.880701754385964,-1.891228070175437,-0.3169590643274854,-0.38245614035087716,1.2152046783625732,0.8058479532163743,0.9672514619883039,-1.3707602339181286,-1.8269005847953217,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
