,time,fights_f1,win_proportion_f2,height_diff,reach_diff,kd,ctrl,sigster_throw,sigster_land,total_str_throw,td_land,leg_throw,weightclass_hw,weightclass_lhw,weightclass_mw,weightclass_wbw,method_sub,method_tko_doc,round_x_5,stance_x_Orthodox,stance_y_Orthodox,outcome
0,300,5.0,0.4,-1.0,1.0,0.14181818181818182,40.19272727272727,-9.596363636363638,-9.06545454545455,-6.145454545454548,0.12,-0.2599999999999998,0,0,1,0,0,0,1,1,1,0.0
1,300,6.0,0.4,-2.0,1.0,0.05090909090909091,-21.32242424242424,6.630909090909089,27.64666666666667,3.642424242424241,-0.45575757575757575,-1.3054545454545452,0,1,0,0,0,0,1,1,1,1.0
2,292,5.0,0.4,-1.0,-1.0,0.11789473684210525,4.235789473684214,-9.170526315789475,-15.414736842105267,-13.442105263157897,0.5936842105263157,-1.8652631578947365,0,0,1,0,0,0,0,1,1,0.0
3,300,7.0,0.4,-3.0,2.0,0.11384615384615385,35.07384615384616,1.9630769230769225,-1.1353846153846163,9.707692307692305,0.5815384615384614,-0.606153846153846,0,0,1,0,0,0,0,1,1,1.0
4,300,1.0,0.4,-2.0,0.0,-0.04,-10.079999999999998,-8.96,-3.9200000000000017,-7.800000000000001,0.12,-0.9599999999999997,0,0,1,0,0,0,0,0,1,0.0
5,73,5.0,1.0,-1.0,0.0,0.18181818181818182,-29.512987012987026,-0.6363636363636367,4.88311688311688,-2.688311688311689,-1.7142857142857144,0.7142857142857142,0,0,1,0,0,0,0,1,0,1.0
6,300,7.0,1.0,-3.0,1.0,0.15384615384615385,-34.63186813186813,10.923076923076923,12.813186813186814,13.164835164835164,-1.252747252747253,0.36813186813186793,0,0,1,0,0,0,0,1,0,1.0
7,165,9.0,1.0,-2.0,-1.0,0.17073170731707318,-48.736933797909415,3.8780487804878057,8.891986062717766,-1.7038327526132413,-0.6898954703832754,-0.8344947735191639,0,0,1,0,0,0,0,0,0,1.0
8,300,7.0,1.0,-1.0,-1.0,0.1111111111111111,-35.489417989418,3.8888888888888893,4.539682539682538,-0.4761904761904745,-2.0105820105820107,0.5846560846560844,0,0,1,0,0,0,0,1,0,1.0
9,300,5.0,1.0,1.0,1.0,0.18181818181818182,62.050505050505045,-5.525252525252526,-13.323232323232325,-0.8787878787878789,0.2222222222222222,-1.833333333333333,0,1,0,0,0,0,0,1,1,1.0
10,300,10.0,1.0,2.0,1.0,0.12903225806451613,-5.060931899641577,7.627240143369175,11.286738351254478,6.731182795698928,-0.2939068100358423,0.2150537634408609,0,1,0,0,0,0,0,1,1,1.0
11,300,5.0,0.8,1.0,5.0,0.18181818181818182,66.38383838383838,-4.191919191919194,-17.21212121212121,1.8434343434343425,-0.05555555555555558,0.9444444444444444,0,0,1,0,0,0,0,1,1,1.0
12,300,16.0,0.8,1.0,4.0,0.171875,14.45486111111111,6.022569444444443,-2.7604166666666643,10.93576388888889,-0.24305555555555558,0.9600694444444444,0,0,0,0,0,0,0,1,1,1.0
13,300,10.0,0.8,-4.0,-1.0,0.2,5.588034188034186,0.4598290598290582,-7.9282051282051285,2.5888888888888886,-0.7017094017094017,4.398290598290599,0,0,0,0,0,0,0,1,1,0.0
14,300,2.0,0.8,1.0,9.0,0.0,13.346405228758169,-3.555555555555557,-20.549019607843135,-4.846405228758169,0.06209150326797386,-0.261437908496732,0,0,1,0,0,0,0,1,1,1.0
15,300,3.0,0.8,-2.0,-1.0,0.13043478260869565,-1.454106280193237,-1.0772946859903403,-18.362318840579707,-1.741545893719806,-0.09903381642512077,0.9227053140096617,0,0,0,0,0,0,0,1,1,1.0
16,255,5.0,1.0,-1.0,-2.0,0.18181818181818182,20.47272727272727,-4.036363636363635,-1.4454545454545453,0.35454545454545183,0.0,1.8,0,1,0,0,0,0,0,1,1,1.0
17,119,3.0,1.0,1.0,0.0,0.2727272727272727,10.836363636363643,0.5090909090909115,5.372727272727275,0.8090909090909086,0.18181818181818188,0.7545454545454546,0,1,0,0,1,0,0,1,1,1.0
20,156,6.0,0.0,-3.0,-3.0,-0.07575757575757575,20.59090909090909,6.813131313131311,33.05555555555556,-0.14646464646464707,0.36868686868686873,-3.98989898989899,0,0,1,0,0,0,0,1,1,0.0
21,300,8.0,0.0,-2.0,-1.0,-0.06140350877192982,33.86842105263158,-6.093567251461989,-3.8304093567251485,-8.459064327485379,0.611111111111111,-3.04093567251462,0,1,0,0,0,0,0,1,1,0.0
22,300,6.0,0.1818181818181818,0.0,-1.0,0.046464646464646465,-37.17575757575758,14.368686868686869,34.72222222222223,3.3090909090909086,-0.6424242424242423,-0.3676767676767676,0,0,1,0,0,0,0,1,0,1.0
23,300,10.0,0.1818181818181818,2.0,0.0,-0.044444444444444446,-9.880701754385967,-1.7485380116959064,-9.391812865497073,-5.196491228070176,1.1964912280701754,-0.40116959064327484,0,0,1,0,0,0,0,1,0,0.0
24,300,9.0,0.1818181818181818,0.0,-2.0,0.12628726287262873,5.115447154471539,2.6558265582655842,2.0189701897018963,-5.4943089430894325,0.9577235772357724,-0.8710027100271003,0,0,1,0,0,0,0,0,0,0.0
25,300,9.0,0.1818181818181818,0.0,1.0,0.025730994152046778,18.25964912280702,-4.362573099415204,-9.11111111111111,-13.2140350877193,1.301754385964912,0.24795321637426926,0,0,1,0,0,0,0,1,0,0.0
26,300,4.0,0.1818181818181818,0.0,-3.0,0.05555555555555556,-38.233333333333334,14.37777777777778,26.455555555555556,5.199999999999999,-0.8,0.6777777777777778,0,0,1,0,0,0,0,1,0,0.0
27,59,1.0,0.1818181818181818,3.0,-1.0,-0.044444444444444446,28.677777777777777,-5.333333333333332,-15.222222222222221,-12.988888888888889,0.21111111111111103,-0.711111111111111,0,0,1,0,0,0,0,0,0,0.0
28,300,6.0,0.1818181818181818,0.0,-1.0,0.06081871345029239,-13.354385964912282,2.988304093567251,7.976608187134502,-5.880701754385964,-0.38245614035087716,0.9672514619883039,0,0,1,0,0,0,0,1,0,0.0
29,300,4.0,0.1818181818181818,2.0,-2.0,0.24126984126984125,-31.29047619047619,0.4206349206349209,-1.7301587301587276,-7.647619047619049,-0.28095238095238095,1.534920634920635,0,0,1,0,0,0,0,0,0,0.0
31,299,4.0,0.1818181818181818,4.0,2.0,0.03888888888888888,50.64999999999999,-4.8888888888888875,-15.194444444444443,3.6499999999999986,0.10000000000000009,-0.40555555555555545,0,0,1,0,1,0,0,1,0,1.0
33,300,6.0,0.5,-2.0,3.0,-0.2167832167832168,-13.473193473193476,14.129370629370628,39.782051282051285,11.857808857808859,-0.11421911421911418,0.4545454545454546,0,0,0,0,0,0,0,1,0,1.0
34,287,7.0,0.5,-1.0,2.0,-0.1965811965811966,42.06552706552706,2.4273504273504276,2.7264957264957275,4.282051282051285,0.16524216524216528,1.3703703703703702,0,0,1,0,0,0,0,1,0,1.0
