,outcome,time,L_f1,W_f1,L_f2,W_f2,fights_f2,height_y,kd,ctrl,sigster_throw,sigster_land,td_land,head_throw,body_throw,leg_throw,clinch_throw,weightclass_hw,weightclass_lhw,weightclass_lw,weightclass_mw,weightclass_wbw,weightclass_ww,method_dec_spl,method_dec_una,method_ko_tko,stance_x_Orthodox,stance_x_Southpaw,stance_x_Switch
0,0.0,300,1.0,4.0,2.0,3.0,5.0,75.0,0.14181818181818182,40.19272727272727,-9.596363636363638,-9.06545454545455,0.12,-6.627272727272728,-2.709090909090909,-0.2599999999999998,-2.583636363636364,0,0,0,1,0,0,0,0,0,1,0,0
1,1.0,300,1.0,5.0,2.0,3.0,5.0,75.0,0.05090909090909091,-21.32242424242424,6.630909090909089,27.64666666666667,-0.45575757575757575,9.206060606060605,-1.2696969696969695,-1.3054545454545452,-2.6290909090909094,0,1,0,0,0,0,0,1,0,1,0,0
2,0.0,292,2.0,3.0,2.0,3.0,5.0,75.0,0.11789473684210525,4.235789473684214,-9.170526315789475,-15.414736842105267,0.5936842105263157,-5.926315789473685,-1.3789473684210525,-1.8652631578947365,-0.9831578947368422,0,0,0,1,0,0,0,0,1,1,0,0
3,1.0,300,4.0,3.0,2.0,3.0,5.0,75.0,0.11384615384615385,35.07384615384616,1.9630769230769225,-1.1353846153846163,0.5815384615384614,1.138461538461538,1.430769230769231,-0.606153846153846,-0.48923076923076936,0,0,0,1,0,0,0,0,0,1,0,0
4,0.0,300,1.0,0.0,2.0,3.0,5.0,75.0,-0.04,-10.079999999999998,-8.96,-3.9200000000000017,0.12,-4.800000000000001,-3.1999999999999997,-0.9599999999999997,-1.9200000000000002,0,0,0,1,0,0,0,1,0,0,1,0
5,1.0,73,1.0,4.0,4.0,0.0,4.0,75.0,0.18181818181818182,-29.512987012987026,-0.6363636363636367,4.88311688311688,-1.7142857142857144,-1.441558441558441,0.09090909090909083,0.7142857142857142,-0.6493506493506493,0,0,0,1,0,0,0,0,1,1,0,0
6,1.0,300,4.0,3.0,4.0,0.0,4.0,75.0,0.15384615384615385,-34.63186813186813,10.923076923076923,12.813186813186814,-1.252747252747253,6.324175824175825,4.230769230769231,0.36813186813186793,1.445054945054945,0,0,0,1,0,0,0,1,0,1,0,0
7,1.0,165,3.0,6.0,4.0,0.0,4.0,75.0,0.17073170731707318,-48.736933797909415,3.8780487804878057,8.891986062717766,-0.6898954703832754,2.3222996515679455,2.3902439024390247,-0.8344947735191639,2.409407665505227,0,0,0,1,0,0,0,0,1,0,1,0
8,1.0,300,1.0,6.0,4.0,0.0,4.0,75.0,0.1111111111111111,-35.489417989418,3.8888888888888893,4.539682539682538,-2.0105820105820107,1.2671957671957674,2.037037037037037,0.5846560846560844,-0.7486772486772488,0,0,0,1,0,0,0,1,0,1,0,0
9,1.0,300,1.0,4.0,2.0,0.0,2.0,73.0,0.18181818181818182,62.050505050505045,-5.525252525252526,-13.323232323232325,0.2222222222222222,-2.8939393939393936,-0.797979797979798,-1.833333333333333,-0.08585858585858586,0,1,0,0,0,0,1,0,0,1,0,0
10,1.0,300,3.0,7.0,2.0,0.0,2.0,73.0,0.12903225806451613,-5.060931899641577,7.627240143369175,11.286738351254478,-0.2939068100358423,6.559139784946238,0.8530465949820787,0.2150537634408609,0.5519713261648744,0,1,0,0,0,0,0,1,0,1,0,0
11,1.0,300,1.0,4.0,4.0,1.0,5.0,73.0,0.18181818181818182,66.38383838383838,-4.191919191919194,-17.21212121212121,-0.05555555555555558,-3.2272727272727275,-1.9090909090909092,0.9444444444444444,0.3585858585858587,0,0,0,1,0,0,0,1,0,1,0,0
12,1.0,300,7.0,9.0,4.0,1.0,5.0,73.0,0.171875,14.45486111111111,6.022569444444443,-2.7604166666666643,-0.24305555555555558,2.78125,2.28125,0.9600694444444444,2.3472222222222223,0,0,0,0,0,1,0,1,0,1,0,0
13,0.0,300,5.0,5.0,4.0,1.0,5.0,73.0,0.2,5.588034188034186,0.4598290598290582,-7.9282051282051285,-0.7017094017094017,-2.2461538461538453,-1.6923076923076925,4.398290598290599,1.1606837606837606,0,0,0,0,0,1,0,1,0,1,0,0
14,1.0,300,0.0,2.0,4.0,1.0,5.0,73.0,0.0,13.346405228758169,-3.555555555555557,-20.549019607843135,0.06209150326797386,-3.647058823529412,0.35294117647058787,-0.261437908496732,1.8104575163398695,0,0,0,1,0,0,0,1,0,1,0,0
15,1.0,300,1.0,2.0,4.0,1.0,5.0,73.0,0.13043478260869565,-1.454106280193237,-1.0772946859903403,-18.362318840579707,-0.09903381642512077,-2.391304347826088,0.3913043478260869,0.9227053140096617,0.3961352657004832,0,0,0,0,0,1,0,1,0,1,0,0
16,1.0,255,1.0,4.0,2.0,0.0,2.0,75.0,0.18181818181818182,20.47272727272727,-4.036363636363635,-1.4454545454545453,0.0,-6.927272727272727,1.0909090909090908,1.8,-1.9636363636363636,0,1,0,0,0,0,0,0,1,1,0,0
17,1.0,119,0.0,3.0,2.0,0.0,2.0,75.0,0.2727272727272727,10.836363636363643,0.5090909090909115,5.372727272727275,0.18181818181818188,-0.881818181818181,0.6363636363636365,0.7545454545454546,-1.190909090909091,0,1,0,0,0,0,0,0,0,1,0,0
20,0.0,156,1.0,5.0,0.0,2.0,2.0,76.0,-0.07575757575757575,20.59090909090909,6.813131313131311,33.05555555555556,0.36868686868686873,14.383838383838384,-3.5808080808080804,-3.98989898989899,-1.9090909090909092,0,0,0,1,0,0,0,0,1,1,0,0
21,0.0,300,3.0,5.0,0.0,2.0,2.0,76.0,-0.06140350877192982,33.86842105263158,-6.093567251461989,-3.8304093567251485,0.611111111111111,0.6900584795321638,-3.742690058479532,-3.04093567251462,-1.1578947368421053,0,1,0,0,0,0,1,0,0,1,0,0
22,1.0,300,1.0,5.0,2.0,9.0,11.0,73.0,0.046464646464646465,-37.17575757575758,14.368686868686869,34.72222222222223,-0.6424242424242423,14.294949494949494,0.44141414141414126,-0.3676767676767676,-2.7535353535353537,0,0,0,1,0,0,0,1,0,1,0,0
23,0.0,300,5.0,5.0,2.0,9.0,11.0,73.0,-0.044444444444444446,-9.880701754385967,-1.7485380116959064,-9.391812865497073,1.1964912280701754,-1.2584795321637436,-0.08888888888888902,-0.40116959064327484,-1.1076023391812866,0,0,0,1,0,0,1,0,0,1,0,0
24,0.0,300,3.0,6.0,2.0,9.0,11.0,73.0,0.12628726287262873,5.115447154471539,2.6558265582655842,2.0189701897018963,0.9577235772357724,2.2254742547425472,1.3013550135501357,-0.8710027100271003,0.3506775067750678,0,0,0,1,0,0,0,1,0,0,1,0
25,0.0,300,3.0,6.0,2.0,9.0,11.0,73.0,0.025730994152046778,18.25964912280702,-4.362573099415204,-9.11111111111111,1.301754385964912,-2.5216374269005852,-2.088888888888889,0.24795321637426926,-2.791812865497076,0,0,0,1,0,0,0,1,0,1,0,0
26,0.0,300,2.0,2.0,2.0,9.0,11.0,73.0,0.05555555555555556,-38.233333333333334,14.37777777777778,26.455555555555556,-0.8,11.355555555555556,2.3444444444444446,0.6777777777777778,3.6888888888888887,0,0,0,1,0,0,1,0,0,1,0,0
27,0.0,59,1.0,0.0,2.0,9.0,11.0,73.0,-0.044444444444444446,28.677777777777777,-5.333333333333332,-15.222222222222221,0.21111111111111103,-3.2555555555555564,-1.3666666666666667,-0.711111111111111,-2.011111111111111,0,0,0,1,0,0,0,0,1,0,0,1
