event,outcome,weightclass,method,round,time,fight_id,fighter1,fighter2,date,L_f1,W_f1,fights_f1,L_f2,W_f2,fights_f2,fighter_x,height_x,reach_x,stance_x,dob_x,fighter_id_x,fighter_y,height_y,reach_y,stance_y,dob_y,fighter_id_y
UFC Fight Night: Dolidze vs. Imavov,0.0,mw,dec_maj,5,300,767ceb4a0cb43ade,Roman Dolidze,Nassourdine Imavov,2024-02-03,1.0,4.0,5.0,2.0,3.0,5.0,Roman Dolidze,74.0,76.0,Orthodox,,327d5f279895110d,Nassourdine Imavov,75.0,75.0,Orthodox,,881bf86d4cba8578
UFC Fight Night: Strickland vs. Imavov,1.0,lhw,dec_una,5,300,868c83e734dbbceb,Sean Strickland,Nassourdine Imavov,2023-01-14,1.0,5.0,6.0,2.0,3.0,5.0,Sean Strickland,73.0,76.0,Orthodox,,0d8011111be000b2,Nassourdine Imavov,75.0,75.0,Orthodox,,881bf86d4cba8578
UFC 268: Usman vs. Covington 2,0.0,mw,ko_tko,2,292,095a351dd6f09f7e,Edmen Shahbazyan,Nassourdine Imavov,2021-11-06,2.0,3.0,5.0,2.0,3.0,5.0,Edmen Shahbazyan,74.0,74.0,Orthodox,,4144798612ef96e5,Nassourdine Imavov,75.0,75.0,Orthodox,,881bf86d4cba8578
UFC Fight Night: Blaydes vs. Lewis,1.0,mw,dec_maj,3,300,05ceb8b2f93993a6,Phil Hawes,Nassourdine Imavov,2021-02-20,4.0,3.0,7.0,2.0,3.0,5.0,Phil Hawes,72.0,77.0,Orthodox,,547afe1017e72dbe,Nassourdine Imavov,75.0,75.0,Orthodox,,881bf86d4cba8578
UFC Fight Night: Holm vs. Aldana,0.0,mw,dec_una,3,300,15a422574c3b89e1,Jordan Williams,Nassourdine Imavov,2020-10-03,1.0,0.0,1.0,2.0,3.0,5.0,Jordan Williams,73.0,75.0,Southpaw,,e26bd53b751d61d9,Nassourdine Imavov,75.0,75.0,Orthodox,,881bf86d4cba8578
UFC Fight Night: Dolidze vs. Imavov,1.0,lw,dec_una,3,300,733e675fd7c0052a,Renato Moicano,Drew Dober,2024-02-03,2.0,5.0,7.0,7.0,4.0,11.0,Renato Moicano,71.0,72.0,Orthodox,1989-05-21,b6452706b373eea1,Drew Dober,68.0,70.0,Southpaw,,519e4fe37ce9ff75
UFC 259: Blachowicz vs. Adesanya,1.0,lw,sub,3,97,c06d7bb29bc24d00,Islam Makhachev,Drew Dober,2021-03-06,0.0,7.0,7.0,7.0,4.0,11.0,Islam Makhachev,70.0,70.0,Southpaw,,275aca31f61ba28c,Drew Dober,68.0,70.0,Southpaw,,519e4fe37ce9ff75
UFC Fight Night: Smith vs. Teixeira,0.0,lw,ko_tko,2,265,46c050a827ee83d6,Alexander Hernandez,Drew Dober,2020-05-13,,,,7.0,4.0,11.0,Alexander Hernandez,69.0,72.0,Orthodox,,262a7d06203657e6,Drew Dober,68.0,70.0,Southpaw,,519e4fe37ce9ff75
UFC Fight Night: Lewis vs. Dos Santos,1.0,lw,sub,2,281,9cfad21ef1911728,Beneil Dariush,Drew Dober,2019-03-09,3.0,8.0,11.0,7.0,4.0,11.0,Beneil Dariush,70.0,72.0,Southpaw,1989-05-06,08af939f41b5a57b,Drew Dober,68.0,70.0,Southpaw,,519e4fe37ce9ff75
UFC 214: Cormier vs. Jones 2,0.0,lw,ko_tko,1,184,3636e085c098dbda,Joshua Burkman,Drew Dober,2017-07-29,4.0,1.0,5.0,7.0,4.0,11.0,Joshua Burkman,70.0,72.0,Orthodox,,6da99156486ed6c2,Drew Dober,68.0,70.0,Southpaw,,519e4fe37ce9ff75
