fighter,W,L,fights
Alatengheili,2,1,3
Aoriqileng,2,0,2
Maheshate,1,0,1
Sumudaerji,2,0,2
AJ Dobson,1,0,1
AJ Fletcher,2,0,2
Aalon Cruz,1,0,1
Aaron Phillips,2,0,2
Aaron Riley,1,0,1
Aaron Rosa,2,0,2
Aaron Simpson,1,2,3
Aaron Wilkinson,1,0,1
Abdul Razak Alhassan,2,5,7
Abdul-Kerim Edilov,0,1,1
Abel Trujillo,3,3,6
Abner Lloveras,1,0,1
Abu Azaitar,1,1,2
Abubakar Nurmagomedov,0,1,1
Abus Magomedov,2,0,2
Adam Cella,1,0,1
Adam Fugitt,2,1,3
Adam Milstead,1,1,2
Adam Wieczorek,0,2,2
Adlan Amagov,0,2,2
Adrian Yanez,2,1,3
Adriano Martins,3,1,4
Ailin Perez,0,2,2
Aisling Daly,1,0,1
Akbarh Arreola,2,1,3
Akira Corassani,1,1,2
Al Iaquinta,0,5,5
Alan Baudot,3,0,3
Alan Belcher,2,2,4
Alan Jouban,2,3,5
Alan Patrick,4,1,5
Albert Duraev,1,1,2
Albert Morales,2,0,2
Albert Tumenov,2,4,6
Alberto Mina,0,2,2
Alberto Uda,1,0,1
Alejandro Perez,1,3,4
Aleksa Camur,2,0,2
Aleksandar Rakic,2,6,8
Aleksandra Albu,1,2,3
Aleksei Kunchenko,2,1,3
Aleksei Oleinik,3,3,6
Alen Amedovski,3,0,3
Alessandro Costa,2,1,3
Alessio Di Chirico,2,2,4
Alessio Sakara,2,0,2
Alex Caceres,6,3,9
Alex Chambers,3,0,3
Alex Da Silva,3,1,4
Alex Garcia,3,5,8
Alex Morono,3,7,10
Alex Nicholson,3,1,4
Alex Oliveira,4,4,8
Alex Pereira,0,2,2
Alex Perez,2,4,6
Alex Reyes,1,0,1
Alex Ricci,2,0,2
Alex Soto,1,0,1
Alex Torres,1,0,1
Alex White,4,3,7
Alexa Grasso,1,5,6
Alexander Gustafsson,2,4,6
Alexander Her0dez,1,3,4
Alexander Munoz,2,0,2
Alexander Volkanovski,0,4,4
Alexander Volkov,3,4,7
Alexander Yakovlev,5,2,7
Alexandr Romanov,2,0,2
Alexandre Ferreira,1,0,1
Alexandre Pantoja,1,2,3
Alexis Davis,2,1,3
Ali AlQaisi,1,0,1
Ali Bagautinov,2,3,5
Alistair Overeem,0,5,5
Aljamain Sterling,2,4,6
Allan Nascimento,1,1,2
Allan Zuniga,1,0,1
Allen Crowder,1,1,2
Alonzo Menifield,1,2,3
Alptekin Ozkilic,1,1,2
Alvaro Herrera Mendoza,2,1,3
Amanda Cooper,2,1,3
Amanda Lemos,1,4,5
Amanda Nunes,1,1,2
Amanda Ribas,2,4,6
Amilcar Alves,2,0,2
Amir Albazi,0,2,2
Amir Sadollah,2,1,3
Anderson Dos Santos,3,1,4
Anderson Silva,4,0,4
Andre Ewell,4,1,5
Andre Fialho,2,1,3
Andre Fili,6,6,12
Andre Muniz,1,4,5
Andre Petroski,0,2,2
Andre Soukhamthath,5,1,6
Andre Winner,2,0,2
Andrea Lee,4,3,7
Andreas Michailidis,3,0,3
Andreas Stahl,1,0,1
Andrei Arlovski,2,4,6
Andrew Craig,3,3,6
Andrew Holbrook,3,2,5
Andrew Sanchez,2,1,3
Andy Enz,3,0,3
Andy Ogle,1,0,1
Ange Loosa,1,1,2
Angela Hill,12,5,17
Angela Magana,2,0,2
Anna Elmose,1,0,1
Anshul Jubli,0,1,1
