fighter,height,reach,stance,dob,fighter_id
Tom Aaron,,,,,93fe7332d16c6ad9
Danny Abbadi,71.0,,Orthodox,,15df64c02b6b0fde
David Abbott,72.0,,Switch,,b361180739bed4b0
Shamil Abdurakhimov,75.0,76.0,Orthodox,,2f5cbecbbe18bac4
Hiroyuki Abe,66.0,,Orthodox,,c0ed7b208197e8de
Daichi Abe,71.0,71.0,Orthodox,,5140122c3eecd307
Papy Abedi,71.0,,Southpaw,,c9f6385af6df66d7
Ricardo Abreu,71.0,,Orthodox,,aa6e591c2a2cdecd
Klidson Abreu,72.0,74.0,Orthodox,,7279654c7674cd24
Daniel Acacio,68.0,,Orthodox,,1c5879330d42255f
Scott Adams,72.0,,Southpaw,,2620f3eb21c79614
Juan Adams,77.0,80.0,Orthodox,,83b00f7597e5ac83
Anthony Adams,73.0,76.0,Orthodox,,a77633a989013265
Zarrukh Adashev,65.0,65.0,Southpaw,,79cb2a690b9ba5e8
Israel Adesanya,76.0,80.0,Switch,,1338e2c7480bdf9e
Sam Adkins,75.0,,Orthodox,,0e9869d712e81f8f
Nick Agallar,68.0,,Orthodox,,ebc5af72ad5a28cb
Mariya Agapova,66.0,68.0,Southpaw,,a08ddd04eaffd81d
Marcelo Aguiar,70.0,,Orthodox,,44aa652b181bcf68
Fabio Aguiar,72.0,,,,501821d7fb7b95c1
Edwin Aguilar,70.0,,,,6cadc0a0ba7dc015
Jessica Aguilar,63.0,63.0,Orthodox,1982-05-08,8f382b3baa954d2a
Kevin Aguilar,67.0,73.0,Orthodox,,cf946e03ba2e7666
Christian Aguilera,69.0,72.0,Switch,,ae071698e1a3ccd4
Mike Aina,69.0,,Orthodox,,9e3dbb9c68ed5d1a
Hitomi Akano,64.0,,Southpaw,,2eada40ac8801559
Omari Akhmedov,72.0,73.0,Orthodox,,16690d100f995f8f
Yoshihiro Akiyama,70.0,75.0,Orthodox,,b0550072e5f0afa7
Rostem Akman,70.0,72.0,Switch,,1fc64507a0cb38cf
Razak Al-Hassan,74.0,,Orthodox,1982-05-14,38b50fd1e1b5b656
Mostapha Al-Turk,74.0,77.0,Orthodox,,1cf1310684a841f5
Herdem Alacabek,74.0,75.0,Orthodox,,7578cc6bd750206b
Javi Alanis,66.0,,,,2144954270be834d
Alatengheili,65.0,66.0,Orthodox,,1897b7b913736a7c
Amir Albazi,65.0,68.0,Orthodox,,6d35bf94f7d30241
Brett Albee,,,,,9b28292abe3166d5
John Albert,68.0,68.0,Orthodox,,7bd94b60d7521e4a
Junior Albini,75.0,74.0,Orthodox,,c482c8605455a213
Wes Albritton,70.0,,Orthodox,,184b955181bdef52
Aleksandra Albu,62.0,63.0,Orthodox,,e76d9f656ceb82ab
Israel Albuquerque,,,Orthodox,,dd1b90eea08887f6
Juan Alcain,,,,,39f62b833e4cf126
Iuri Alcantara,69.0,71.0,Southpaw,,2f95a3c6d58b2aad
Ildemar Alcantara,74.0,78.0,Orthodox,,7c6e87729e824ef4
Alfonso Alcarez,63.0,,,,1e38bba6738b7b10
Gilbert Aldana,73.0,,Orthodox,,d26934530dc5b248
Irene Aldana,69.0,68.0,Orthodox,,578ef12674df1e6a
Hector Aldana,71.0,72.0,Orthodox,,c487223b0289bda9
Jose Alday,67.0,68.0,Orthodox,,7460ddef986d3144
Jose Aldo,67.0,70.0,Orthodox,,d0f3959b4a9747e6
JJ Aldrich,65.0,67.0,Southpaw,,6fd953151d981979
Jim Alers,69.0,71.0,Orthodox,,fe5a9547479396ab
John Alessio,70.0,72.0,Orthodox,,7a15f3694c5cbc02
Houston Alexander,72.0,72.0,Orthodox,,0541480fbf719d86
Kenneth Alexander,69.0,,Orthodox,,8fd76e1b49c00ae2
Marcio Alexandre Junior,72.0,75.0,Southpaw,1989-05-05,d53482bef23235ba
Olaf Alfonso,74.0,,Orthodox,,b757c73f443d4fca
Pablo Alfonso,68.0,,,1983-05-09,4b37a0bc2ab4cae1
Levi Alford,,,,,41b34b7f11f6d085
Bill Algeo,72.0,73.0,Switch,,9abc648e76c4493a
Royce Alger,70.0,,Orthodox,,669a3cb6e394f515
Amir Aliakbari,75.0,,,,e17770faae3ca54c
Sultan Aliev,71.0,74.0,Orthodox,,e70de1859b7ee78e
John Allan,73.0,75.0,Orthodox,,6ebe96a116e79e52
George Allen,74.0,,Open Stance,,1e13936d708bcff7
Arnold Allen,68.0,70.0,Southpaw,,040a74bb0a465c54
Brendan Allen,74.0,75.0,Orthodox,,2f181c0467965b98
Ben Alloway,71.0,76.0,Orthodox,,c4fe2e9a06ea5bcb
Ricardo Almeida,72.0,74.0,Orthodox,,91186547a7f3f758
Magno Almeida,72.0,,,,d615d6a10a4704cd
Thomas Almeida,67.0,70.0,Southpaw,,2b074403b7c6cdb4
Ericka Almeida,66.0,,Orthodox,,67a992d4cff22466
Estefani Almeida,64.0,,Orthodox,,f16ddfa31236efed
Jailton Almeida,75.0,79.0,Orthodox,,41e83a89929d1327
Lucas Almeida,71.0,71.0,Orthodox,,710f0f8c5d5c9d41
Mauricio Alonso,74.0,,,,c6bf75775b278ed8
Sarah Alpar,64.0,63.0,Southpaw,,49b130de1da2e1bf
Ali AlQaisi,66.0,68.0,Orthodox,,e87a13e02c01331d
Rico Altamirano,70.0,,,,c61b49cec6abd6b9
Victor Altamirano,68.0,70.0,Switch,,dc7927cd622676a7
Mike Altman,70.0,,Orthodox,,c11036da9162cb5f
Sean Alvarez,72.0,,Orthodox,,e741536153227386
Eddie Alvarez,69.0,69.0,Orthodox,,33a331684283900f
Jaime Alvarez,68.0,69.0,Orthodox,,4438482bd1d5a029
Joel Alvarez,75.0,77.0,Orthodox,,58bbef3770bb2dfc
Thiago Alves,69.0,70.0,Orthodox,,31ee470ef5dc8d7f
Anthony Alves,,,,,bd92cf5da5413d2a
Amilcar Alves,72.0,,Southpaw,,dc5a6b2fdb27e7dc
Warlley Alves,71.0,72.0,Orthodox,,d317a5e2b3f88c5f
Rafael Alves,68.0,68.0,Orthodox,,029afd138865d20a
